CNT,CNTSCHID,SC001Q01TA,SC013Q01TA,SC016Q01TA,SC016Q02TA,SC016Q03TA,SC016Q04TA,SC162Q01SA,SC011Q01TA,SC167Q01HA,SC167Q02HA,SC167Q03HA,SC167Q04HA,SC167Q05HA,SC167Q06HA,SC002Q01TA,SC002Q02TA,SC018Q01TA01,SC018Q01TA02,SC018Q02TA01,SC018Q02TA02,SC018Q05NA01,SC018Q05NA02,SC018Q06NA01,SC018Q06NA02,SC018Q07NA01,SC018Q07NA02,SC003Q01TA,SC053Q01TA,SC053Q02TA,SC053Q03TA,SC053Q04TA,SC053Q12IA,SC053Q13IA,SC053Q09TA,SC053Q10TA,SC053Q14IA,SC053Q15IA,SC053Q16IA,SC053D11TA,SC164Q01HA,SC064Q01TA,SC064Q02TA,SC064Q03TA,SC064Q04NA,avg_cog,med_cog,avg_math,med_math,avg_read,med_read,avg_science,med_science
CZE,20300031,3,1,95,5,0,0,2,1,2,1,1,1,1,1,246,169,26,1,26,1,0,0,26,1,0,0,3,1,2,2,1,1,2,2,1,1,2,2,0203001,0,25,91,10,14,0,0,8.526315789473685,5,44.421052631578945,41,6.7368421052631575,6
CZE,20300032,3,1,97,0,0,3,1,1,2,2,2,1,1,1,432,190,61,3,61,3,7,0,34,2,2,0,3,2,2,2,2,2,2,1,1,1,1,2,0203002,13,46,68,5,NA,0,0,6.653846153846154,3,43.03846153846154,41.5,10.384615384615383,7.5
CZE,20300033,2,1,100,NA,NA,NA,1,3,2,1,1,1,1,1,130,205,24,3,24,3,0,0,24,3,1,0,4,2,1,2,1,2,2,2,1,2,1,1,0203001,3,11,5,20,NA,0,0,9.666666666666666,12,44.666666666666664,46,2.3333333333333335,0
CZE,20300034,4,1,96,0,1,3,1,1,2,2,2,2,1,1,413,40,35,5,34,3,1,1,30,2,2,0,4,2,2,2,2,2,2,2,1,1,1,1,0203001,19,24,46,5,NA,0,0,7.3428571428571425,6,49.22857142857143,45,9.857142857142858,6
CZE,20300035,3,1,90,5,1,4,1,1,2,2,2,1,1,1,257,337,41,10,41,10,0,2,41,8,5,1,4,1,2,2,1,2,1,1,1,1,2,2,0203001,1,5,40,1,0,0,0,8.235294117647058,6.5,53,44,13.588235294117649,13.5
CZE,20300036,2,1,100,NA,NA,NA,1,1,2,2,1,1,1,1,72,118,22,2,22,0,2,0,17,0,0,0,3,2,2,2,1,2,1,2,1,1,1,2,0203001,8,18,17,4,NA,0,0,9.909090909090908,6.5,58.45454545454545,43,11.636363636363637,11
CZE,20300037,5,1,100,0,0,0,2,1,NA,1,NA,NA,1,1,235,218,25,4,24,3,24,3,24,3,1,NA,2,1,2,2,1,2,2,1,1,1,1,2,0203002,NA,30,85,7,1,0,0,14.266666666666667,0,44.46666666666667,45,12.2,5
CZE,20300038,4,1,100,NA,NA,NA,1,3,2,1,1,1,1,2,89,34,19,1,19,NA,2,NA,17,NA,0,NA,1,2,1,1,2,1,2,1,1,1,1,2,0203001,NA,75,75,5,10,0,0,3.5,3.5,5.25,5,5.875,5.5
CZE,20300039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9999999,NA,NA,NA,NA,NA,0,0,8.823529411764707,7.5,69.08823529411765,47.5,12.529411764705882,2
CZE,20300040,4,1,100,NA,NA,NA,NA,1,1,1,1,1,1,1,100,515,40,10,40,10,40,10,40,10,3,0,5,2,2,2,1,2,2,2,2,1,1,2,0203001,4,50,50,5,NA,0,0,7.705882352941177,5,60.205882352941174,46,10.5,7.5
CZE,20300041,2,1,99,0,0,1,NA,1,1,1,1,1,1,1,181,215,27,11,27,11,0,1,27,10,1,0,5,1,1,2,2,2,2,2,2,1,1,1,0203001,2,66,24,51,3,0,0,7.444444444444445,7,52.629629629629626,47,10.333333333333334,4
CZE,20300042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9999999,NA,NA,NA,NA,NA,0,0,5.612903225806452,0,42.41935483870968,41,10.129032258064516,8
CZE,20300043,2,1,98,1,1,0,2,3,1,1,1,1,1,1,168,175,22,NA,22,NA,0,NA,22,NA,0,NA,3,2,2,1,1,2,2,2,2,2,1,1,0203002,0,75,15,2,1,0,0,7.909090909090909,6.5,46,46,8.409090909090908,3.5
CZE,20300044,5,1,97,2,0,1,1,1,1,1,1,1,1,1,215,207,25,3,24,2,1,0,24,2,4,0,3,1,2,1,1,1,2,1,1,1,1,1,0203001,0,36,79,10,0,0,0,7.695652173913044,2,46.73913043478261,42,10.956521739130435,6
CZE,20300045,5,1,99,0,1,0,NA,1,1,1,1,1,1,1,291,297,37,21,37,21,1,2,30,19,6,0,4,1,1,1,2,2,1,1,1,1,2,2,0203001,0,15,90,4,1,0,0,7.466666666666667,8,49.333333333333336,47,13.166666666666666,12.5
CZE,20300046,4,1,100,0,0,0,NA,3,1,1,1,1,1,1,160,181,80,60,80,60,2,0,76,60,2,0,3,1,1,2,1,2,2,2,2,1,2,2,0203001,1,20,20,NA,NA,0,0,11.333333333333334,10.5,82.16666666666667,56.5,16.88888888888889,4.5
CZE,20300047,3,1,100,0,0,0,2,1,1,1,1,1,1,1,225,326,38,10,36,2,4,0,34,8,34,8,3,2,2,2,2,1,1,2,1,2,1,1,0203001,6,6,34,3,0,0,0,8,1.5,46.833333333333336,40,13.041666666666666,7
CZE,20300048,2,1,100,0,0,0,2,3,1,1,1,1,1,1,85,91,15,1,12,1,2,0,12,1,0,0,3,2,2,1,1,2,2,2,2,1,1,1,0203001,NA,60,50,15,20,0,0,7.4,0,42.2,44,16.2,13
CZE,20300049,3,1,100,0,0,0,NA,1,2,1,1,1,1,1,126,276,23,6,23,6,2,0,18,6,1,0,2,2,2,2,1,2,2,1,1,1,1,2,0203001,8,60,40,5,1,0,0,6,3,49.57142857142857,35,6.571428571428571,3
CZE,20300050,3,1,100,0,0,0,1,1,1,1,1,1,1,1,33,180,16,6,15,5,0,0,15,5,1,1,5,2,2,2,1,2,2,2,1,2,1,2,0203002,10,10,30,5,NA,0,0,6.580645161290323,5,46.25806451612903,40,6.935483870967742,5
CZE,20300051,1,1,99,0,1,0,1,3,1,1,1,1,1,1,75,64,10,4,9,3,1,1,NA,3,0,0,2,1,1,1,1,2,1,1,1,1,1,1,0203002,NA,10,100,7,2,0,0,6.25,3,62.25,44,7.375,2
CZE,20300052,3,1,99,1,0,0,1,1,2,1,2,1,1,1,306,282,33,NA,33,NA,0,NA,33,NA,0,NA,3,2,2,2,1,2,2,2,1,1,1,2,0203001,NA,50,20,5,NA,0,0,7,1.5,69.65,46.5,24.15,9.5
CZE,20300053,5,1,100,NA,NA,NA,2,1,1,1,1,1,1,1,22,240,30,22,30,22,NA,NA,17,18,3,2,2,2,2,2,2,1,2,1,2,1,1,1,0203001,2,50,50,100,NA,0,0,10.26086956521739,7,63.47826086956522,55,7.695652173913044,0
CZE,20300054,3,1,100,NA,NA,NA,1,1,2,1,1,1,1,2,261,191,26,1,26,1,0,0,26,1,0,0,4,NA,2,2,1,2,2,2,2,1,2,2,0203001,NA,44,96,25,20,0,0,7.709677419354839,3,50.193548387096776,42,10.387096774193548,7
CZE,20300055,3,1,100,0,0,0,1,1,2,1,1,1,1,1,435,32,46,3,46,3,3,0,22,2,2,0,4,2,2,1,2,2,2,2,2,2,1,2,0203001,31,20,70,10,0,0,0,7,2.5,55.607142857142854,37.5,13.571428571428571,5.5
CZE,20300056,2,1,94,0,0,6,1,1,2,1,2,1,1,1,118,34,12,10,11,7,0,0,9,4,0,0,3,2,2,2,1,2,2,2,1,2,2,1,0203002,12,34,100,1,NA,0,0,12.75,10.5,82.75,54.5,11.75,0
CZE,20300057,3,1,90,0,0,10,1,1,2,1,2,1,1,2,265,333,63,7,50,3,6,0,42,3,0,0,3,1,2,2,1,2,2,1,1,1,2,1,0203001,18,33,50,1,1,0,0,10.4,2,52.86666666666667,40,13,7
CZE,20300058,3,1,100,0,0,0,1,1,1,1,1,1,1,1,63,206,22,4,22,4,0,0,21,3,1,1,4,2,2,1,2,2,2,2,2,1,1,2,0203001,6,25,60,4,0,0,0,7.575757575757576,6,51.54545454545455,45,9.030303030303031,7
CZE,20300059,3,1,99,0,1,0,1,1,1,1,1,1,1,1,437,140,62,9,62,9,2,1,60,8,6,1,4,2,2,1,1,1,1,1,1,2,1,1,0203001,19,50,40,10,NA,0,0,10.333333333333334,1,50.6,34.5,10.066666666666666,9
CZE,20300060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9999999,NA,NA,NA,NA,NA,0,0,6.757575757575758,5,48.303030303030305,45,11.424242424242424,13
CZE,20300061,2,1,100,0,0,0,1,NA,1,1,1,1,1,1,37,204,24,15,24,15,1,3,19,11,2,0,4,2,2,2,1,2,2,1,1,1,1,1,0203001,5,60,10,1,NA,0,0,8.3,1,51.766666666666666,46.5,14.7,14
CZE,20300062,2,1,95,0,1,4,1,1,2,1,1,1,1,1,432,265,55,9,55,9,0,1,55,9,2,0,4,1,2,2,2,2,2,2,2,1,2,2,0203001,3,10,5,2,NA,0,0,6.238095238095238,3,38.857142857142854,37,10.428571428571429,6
CZE,20300063,5,2,20,80,0,0,1,1,1,1,1,1,1,1,38,197,28,6,26,0,8,NA,25,NA,1,NA,2,2,2,1,1,2,2,1,1,1,1,2,9999999,NA,60,84,3,93,0,0,6.074074074074074,5,50.81481481481482,42,9.88888888888889,11
CZE,20300064,4,1,95,4,1,0,1,1,1,1,1,1,1,1,120,104,13,2,13,2,0,0,13,1,0,1,4,2,2,2,1,1,1,1,1,1,1,2,0203002,NA,93,76,24,7,0,0,7,7.5,39.75,40.5,12.3125,4
CZE,20300065,2,1,100,0,0,0,1,1,2,2,2,1,1,1,357,87,48,10,48,8,5,3,14,0,1,0,2,2,2,2,2,2,2,2,1,1,1,2,0203002,13,10,35,4,0,0,0,13.571428571428571,6,54.714285714285715,42,11.571428571428571,8
CZE,20300066,3,1,95,2,3,0,2,1,1,1,1,1,1,1,387,353,39,1,39,1,0,0,39,1,2,0,3,1,2,1,1,2,2,2,1,1,1,1,0203002,NA,75,50,10,NA,0,0,5.214285714285714,1.5,48.964285714285715,40.5,11.321428571428571,4.5
CZE,20300067,4,2,76,16,8,0,2,1,1,1,1,1,1,1,120,159,20,80,0,3,0,3,17,67,3,7,2,1,1,2,1,2,1,1,1,1,2,2,0203002,2,70,35,5,NA,0,0,8.047619047619047,7,44.857142857142854,45,8.285714285714286,0
CZE,20300068,4,1,100,NA,NA,NA,2,1,1,1,1,1,1,1,226,235,27,0,26,0,0,0,26,0,1,0,3,1,2,2,1,2,1,1,1,1,1,1,0203002,0,65,91,11,3,0,0,6.565217391304348,4,42.91304347826087,42,7.260869565217392,4
CZE,20300069,2,1,99,NA,1,NA,1,1,1,1,2,1,1,1,140,175,26,6,26,6,0,0,24,5,2,1,2,2,2,1,1,2,2,2,1,1,2,2,0203002,2,10,60,10,NA,0,0,9.333333333333334,3.5,69.41666666666667,50,11.583333333333334,13.5
CZE,20300070,2,1,100,NA,NA,NA,1,3,1,1,1,1,1,1,26,20,6,3,5,1,0,1,5,1,0,0,1,2,2,2,1,2,2,1,1,1,1,2,0203002,NA,NA,NA,NA,NA,0,0,7,7,14.6,9,4.2,2
CZE,20300071,5,1,100,NA,NA,NA,2,1,1,1,1,1,1,1,159,176,16,3,13,3,1,0,11,3,1,0,4,1,2,1,1,2,1,1,1,2,1,1,0203001,NA,40,90,15,10,0,0,8.6,3,66.46666666666667,45,15,6
CZE,20300072,3,1,100,NA,NA,NA,1,1,2,2,1,1,1,1,414,573,72,14,72,14,0,0,NA,NA,4,NA,4,1,1,1,2,2,1,1,1,1,2,2,0203002,NA,60,20,2,NA,0,0,8.10344827586207,8,59.172413793103445,48,12.79310344827586,11
